match_id,tournament,competition,season,team,minute,period,x,y,distance_to_goal,shot_angle_rad,body_part,technique,shot_type,play_pattern,under_pressure,first_time,open_goal,deflected,aerial_won,follows_dribble,score_diff_before_shot,statsbomb_xg,is_goal,n_opponents_in_cone,n_opponents_total,nearest_opponent_dist,gk_dist_to_goal_center,gk_dist_from_shot_line
3930179,55_282,UEFA Euro,2024,Spain,78,2,107.7,27.1,17.824140933015535,0.31527331563424627,Right Foot,Normal,Open Play,Regular Play,False,False,False,False,False,False,1,0.06142092,0,2,8,4.177319714841079,4.701063709417263,1.1647125142253902
3930179,55_282,UEFA Euro,2024,Spain,79,2,113.8,35.1,7.902531240052141,0.8181818324419972,Head,Normal,Open Play,From Corner,True,False,False,False,True,False,1,0.09585059,0,1,11,0.6082762530298248,1.3601470508735438,0.3669710263594608
3930179,55_282,UEFA Euro,2024,Albania,83,2,111.0,26.6,16.14187101918486,0.28631707418198366,Right Foot,Normal,Open Play,Regular Play,False,False,False,False,False,False,-1,0.05797654,0,2,9,1.0198039027185568,3.312099032335835,0.28869020167868853
3930179,55_282,UEFA Euro,2024,Albania,91,2,109.2,44.2,11.587924749496779,0.6308843432920553,Head,Normal,Open Play,From Free Kick,True,False,False,False,True,False,-1,0.04627785,0,1,11,0.9219544457292795,2.1470910553583877,1.408362614773489
3930179,55_282,UEFA Euro,2024,Albania,91,2,108.8,40.8,11.228535078094563,0.6831914452901949,Right Foot,Normal,Open Play,From Free Kick,True,False,False,False,False,False,-1,0.111852095,0,2,10,1.1180339887498967,1.0630145812734646,0.6412234498911704
3920394,1267_107,African Cup of Nations,2023,Morocco,8,1,108.7,40.2,11.301769772916096,0.6802611252172286,Left Foot,Half Volley,Open Play,Regular Play,True,True,False,False,False,False,0,0.19486658,0,1,5,0.921954445729288,3.1144823004794815,0.24509435740219632
3920394,1267_107,African Cup of Nations,2023,Morocco,29,1,90.9,56.7,33.55145302367693,0.20678763487975013,Left Foot,Normal,Free Kick,From Free Kick,False,False,False,False,False,False,0,0.008521873,0,3,11,10.51189802081432,1.0770329614269003,0.8446728068677215
3920394,1267_107,African Cup of Nations,2023,Morocco,29,1,112.6,36.8,8.062257748298556,0.8793902608574026,Left Foot,Half Volley,Open Play,From Free Kick,False,True,False,False,False,False,0,0.40616646,1,1,9,2.23606797749979,2.0591260281973978,1.6322971071939638
3920394,1267_107,African Cup of Nations,2023,Morocco,32,1,117.3,43.3,4.263801121065568,1.4702110002548734,Head,Normal,Open Play,From Free Kick,True,False,False,False,True,False,1,0.29920784,0,2,11,0.8062257748298515,0.9219544457292949,0.5699140112316047
3920394,1267_107,African Cup of Nations,2023,Morocco,35,1,103.2,56.3,23.407904647789383,0.2474851562068315,Left Foot,Normal,Open Play,From Free Kick,False,True,False,False,False,False,1,0.04425941,0,1,7,5.821511831131151,4.534313619501858,0.21445746962552326
3920394,1267_107,African Cup of Nations,2023,Morocco,36,1,109.3,36.6,11.22719911643149,0.6610746223152755,Head,Normal,Open Play,From Corner,False,False,False,False,False,False,1,0.039081346,0,4,11,1.8027756377319946,1.1704699910719567,0.04809748133972705
3920394,1267_107,African Cup of Nations,2023,Morocco,38,1,112.1,28.8,13.705838172107537,0.3524104901157536,Left Foot,Normal,Open Play,From Free Kick,False,False,False,False,False,False,1,0.17565307,0,1,7,1.0999999999999979,4.3829214001622265,0.03210310777600122
3920394,1267_107,African Cup of Nations,2023,Morocco,44,1,101.5,55.1,23.880117252643466,0.26093475567361574,Left Foot,Normal,Open Play,From Throw In,False,False,False,False,False,False,1,0.029372314,0,2,10,0.8062257748298567,3.394112549695431,0.3417068649064763
3920394,1267_107,African Cup of Nations,2023,Tanzania,45,2,80.0,33.5,40.52468383590426,0.1942895204374284,Left Foot,Normal,Open Play,From Throw In,False,False,False,False,False,False,-1,0.0054229656,0,2,11,2.11896201004171,2.2203603311174542,0.05675553224088121
3920394,1267_107,African Cup of Nations,2023,Tanzania,47,2,87.0,27.7,35.21775120589047,0.2123832010445373,Left Foot,Normal,Open Play,Regular Play,True,False,False,False,False,False,-1,0.0065039494,0,2,10,2.353720459187961,1.303840481040527,0.36032965097093106
3920394,1267_107,African Cup of Nations,2023,Morocco,50,2,113.4,37.5,7.05761999543755,1.001241325020589,Left Foot,Half Volley,Open Play,Regular Play,False,True,False,False,False,False,1,0.3682115,0,1,5,1.6763054614240156,5.385164807134504,0.0991835775307169
3920394,1267_107,African Cup of Nations,2023,Morocco,65,2,104.1,18.0,27.144244325455077,0.1746698247208226,Right Foot,Normal,Open Play,Regular Play,False,False,False,False,False,False,1,0.008362407,0,2,8,2.6400757564888098,2.4207436873820396,0.10278422071907095
3920394,1267_107,African Cup of Nations,2023,Morocco,76,2,102.8,42.2,17.34012687381497,0.4502388845404515,Right Foot,Normal,Open Play,From Throw In,False,True,False,False,False,False,1,0.096596204,1,1,9,3.420526275297411,1.7464249196573005,0.18108287343283444
3920394,1267_107,African Cup of Nations,2023,Morocco,79,2,111.1,37.8,9.167878707749145,0.8080154909450318,Left Foot,Half Volley,Open Play,Regular Play,False,True,False,False,False,False,2,0.26946476,1,1,4,5.162363799656116,1.8439088914585744,0.04363059468288301
3920394,1267_107,African Cup of Nations,2023,Morocco,90,2,100.0,24.8,25.12050954897213,0.25450451079413455,Left Foot,Normal,Open Play,Regular Play,False,False,False,False,False,False,3,0.02970382,0,1,9,2.12132034355964,2.3345235059857488,0.3853425019555932
3920394,1267_107,African Cup of Nations,2023,Morocco,90,2,115.5,30.9,10.151847122568386,0.39209663278543744,Left Foot,Normal,Open Play,Regular Play,False,True,False,False,False,False,3,0.2827726,0,1,6,6.010823570859492,2.5238858928247967,0.3240789543299982
3920394,1267_107,African Cup of Nations,2023,Morocco,96,2,117.4,48.9,9.272000862812726,0.2889505669473816,Head,Normal,Open Play,From Free Kick,False,False,False,False,False,False,3,0.048041165,0,2,10,1.4560219778560999,1.843908891458576,0.12079377650749387
3920391,1267_107,African Cup of Nations,2023,Mali,4,1,95.2,28.0,27.5506805723561,0.26092402132617354,Right Foot,Half Volley,Open Play,From Throw In,True,True,False,False,False,False,0,0.019108407,0,2,11,2.5079872407968913,2.5,1.1469771106746192
3920391,1267_107,African Cup of Nations,2023,South Africa,6,1,82.9,55.0,40.01762111870219,0.18506497741236225,Left Foot,Normal,Open Play,From Corner,False,False,False,True,False,False,0,0.0072868695,0,2,10,6.428841264178172,2.8017851452243785,0.6212263324263766
3920391,1267_107,African Cup of Nations,2023,Mali,8,1,88.5,25.8,34.55271335221013,0.21076457011450736,Right Foot,Half Volley,Open Play,Regular Play,True,False,False,False,False,False,0,0.005797327,0,3,9,4.338202392696777,2.280350850198273,0.5365714643308634
3920391,1267_107,African Cup of Nations,2023,South Africa,13,1,106.9,39.4,13.113733259449798,0.5916335303079322,Left Foot,Normal,Open Play,From Throw In,False,True,False,False,False,False,0,0.13276686,0,2,10,2.55538646783612,1.529705854077835,0.23105548512032048
3920391,1267_107,African Cup of Nations,2023,Mali,19,1,108.3,19.1,23.95203540411545,0.16628246377688197,Left Foot,Half Volley,Open Play,From Goal Kick,True,True,False,False,False,False,0,0.0071411054,0,1,7,1.3038404810405275,2.0000000000000027,0.2655306696360262
3920391,1267_107,African Cup of Nations,2023,South Africa,21,1,98.4,59.4,29.033084576048747,0.20600378850282489,Left Foot,Normal,Open Play,Regular Play,False,False,False,False,False,False,0,0.010171069,0,2,9,8.099382692526635,3.5355339059327404,1.1703889027358754
3920391,1267_107,African Cup of Nations,2023,Mali,22,1,107.0,37.9,13.168523075880605,0.5838569706809107,Head,Normal,Open Play,From Goal Kick,False,False,False,False,False,False,0,0.064310625,0,1,11,3.310589071449372,2.3409399821439267,0.4389254563092471
3920391,1267_107,African Cup of Nations,2023,Mali,29,1,90.5,39.5,29.50423698386386,0.26946747215312056,Right Foot,Normal,Open Play,Regular Play,True,False,False,False,False,False,0,0.015386992,0,3,11,1.72046505340853,3.1575306807693835,0.5473790089481954
